producto,correccion,categoria
Asado Seleccionado 1 Kg,1,carnes
Pasta Fresca Tallarines Al Huevos Ta-Ta Atm/Mod 500 G,2,pastas
Galletas Malteada La Trigueña Familiar 500 G,2,galletas
Galletas Marina La Banderita 380 G,2.63,galletas
Grisines Finitos El Maestro Cubano 100 G,10,galletas
Galletas Salvado Sin Sal Famosa 400 G,2.5,galletas
Cebolla 1 Kg,1,verduras
Morrón Rojo 1 Kg,1,verduras
Zanahoria 1 Kg,1,verduras
Lentejas Ta-Ta Bolsa 450 G,2.5,legumbres
Lentejones Ta-Ta 450 G,2.5,legumbres
Poroto Negro La Abundancia Bolsa 500 G,2,legumbres
Poroto de Manteca Ta-Ta 500 G,2,legumbres
Porotos Alubia La Abundancia 500 G,2,legumbres
Boniato Arapey 1 Kg,1,verduras
